time/h,Ewe/V
0.000277056,3.2013
0.000555556,3.20234
0.000555667,3.21292
0.000559333,3.22295
0.000570389,3.23297
0.000584833,3.24299
0.000602111,3.25301
0.000621667,3.26309
0.000643167,3.27314
0.000666278,3.2832
0.000691111,3.29327
0.000717611,3.30332
0.000745056,3.31335
0.000773833,3.32338
0.000803556,3.33339
0.0008345,3.34346
0.000866444,3.35346
0.000899778,3.36349
0.000933667,3.37351
0.0009685,3.38354
0.001,3.39357
0.00104,3.40357
0.00108,3.41366
0.00112,3.42367
0.00116,3.43369
0.0012,3.44372
0.00124,3.45376
0.00128,3.46378
0.00132,3.47383
0.00137,3.48386
0.00141,3.49387
0.00146,3.5039
0.00151,3.51399
0.00156,3.52404
0.00161,3.53406
0.00166,3.54412
0.00171,3.55413
0.00177,3.56414
0.00183,3.57421
0.00189,3.58427
0.00195,3.59427
0.00202,3.60432
0.00209,3.61434
0.00216,3.62439
0.00224,3.63439
0.00232,3.64446
0.00241,3.65453
0.00252,3.66455
0.00264,3.67456
0.00279,3.68457
0.00302,3.69458
0.00527,3.68456
0.00746,3.67455
0.0158,3.66485
0.02413,3.66179
0.03246,3.66045
0.0408,3.66008
0.04913,3.65994
0.05746,3.66059
0.0658,3.66143
0.07413,3.66247
0.08246,3.66365
0.0908,3.66501
0.09913,3.66648
0.10746,3.66807
0.1158,3.66971
0.12413,3.67134
0.13246,3.673
0.1408,3.67476
0.14913,3.67643
0.15746,3.67826
0.1658,3.67997
0.17413,3.68184
0.18246,3.68359
0.1908,3.68534
0.19913,3.6872
0.20746,3.68908
0.2158,3.6909
0.22413,3.69246
0.23246,3.69439
0.2408,3.6963
0.24913,3.69806
0.25746,3.69978
0.2658,3.70157
0.27413,3.70327
0.28246,3.7051
0.2908,3.70665
0.29913,3.70835
0.30746,3.70992
0.3158,3.7116
0.32413,3.71318
0.33246,3.71496
0.3408,3.71644
0.34913,3.71801
0.35746,3.71958
0.3658,3.72105
0.37413,3.72259
0.38246,3.72399
0.3908,3.72533
0.39913,3.72701
0.40746,3.72824
0.4158,3.72969
0.42413,3.73107
0.43246,3.73238
0.4408,3.73376
0.44913,3.73503
0.45746,3.73622
0.4658,3.73746
0.47413,3.73886
0.48246,3.7401
0.4908,3.74119
0.49913,3.74254
0.50746,3.7437
0.5158,3.7448
0.52413,3.74595
0.53246,3.74701
0.5408,3.74807
0.54913,3.7491
0.55746,3.75038
0.5658,3.75146
0.57413,3.75245
0.58246,3.75355
0.5908,3.75455
0.59913,3.75563
0.60746,3.75664
0.6158,3.75774
0.62413,3.75865
0.63246,3.75975
0.6408,3.76051
0.64913,3.76149
0.65746,3.7624
0.6658,3.76351
0.67413,3.76435
0.68246,3.76538
0.6908,3.76619
0.69913,3.76703
0.70746,3.76791
0.7158,3.76873
0.72413,3.76956
0.73246,3.77063
0.7408,3.77141
0.74913,3.77213
0.75746,3.77307
0.7658,3.77404
